epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2123.38,1.34815,0.81845,0.89299,0.86327,0.81303,0.84293,0.50635,1.22052,0.65216,0.88146,0.0099956,0.00333187,0.0099956,0.00333187,0.0099956,0.00333187,0.0099956,0.00333187
2,4082.26,1.31703,0.66709,0.88578,0.89284,0.83097,0.85444,0.52312,1.18972,0.58014,0.87671,0.0190958,0.00636527,0.0190958,0.00636527,0.0190958,0.00636527,0.0190958,0.00636527
3,5977.15,1.31739,0.6666,0.88632,0.88516,0.81953,0.84848,0.51753,1.20389,0.59038,0.87779,0.027296,0.00909866,0.027296,0.00909866,0.027296,0.00909866,0.027296,0.00909866
4,7851,1.27933,0.63228,0.87942,0.91019,0.84708,0.86713,0.55176,1.14534,0.52135,0.86581,0.02595,0.00865,0.02595,0.00865,0.02595,0.00865,0.02595,0.00865
5,9727.97,1.22231,0.58566,0.86848,0.91032,0.85573,0.87456,0.55996,1.1324,0.49778,0.86274,0.0246,0.0082,0.0246,0.0082,0.0246,0.0082,0.0246,0.0082
6,11603.4,1.18471,0.55603,0.86196,0.91893,0.86382,0.88052,0.58071,1.09493,0.47301,0.85496,0.02325,0.00775,0.02325,0.00775,0.02325,0.00775,0.02325,0.00775
7,13477.8,1.15624,0.53644,0.85722,0.91936,0.86612,0.88514,0.59252,1.0744,0.46052,0.85123,0.0219,0.0073,0.0219,0.0073,0.0219,0.0073,0.0219,0.0073
8,15351,1.13465,0.5214,0.8539,0.92292,0.87141,0.88819,0.59682,1.06365,0.44956,0.84908,0.02055,0.00685,0.02055,0.00685,0.02055,0.00685,0.02055,0.00685
9,17226.7,1.11087,0.50671,0.84988,0.92759,0.87238,0.89132,0.60744,1.04055,0.43972,0.84456,0.0192,0.0064,0.0192,0.0064,0.0192,0.0064,0.0192,0.0064
10,19102.7,1.09304,0.49647,0.84644,0.92483,0.87669,0.89575,0.61599,1.02192,0.43123,0.84181,0.01785,0.00595,0.01785,0.00595,0.01785,0.00595,0.01785,0.00595
11,20976.3,1.07408,0.48481,0.8439,0.9276,0.8806,0.89654,0.62019,1.01329,0.42433,0.84005,0.0165,0.0055,0.0165,0.0055,0.0165,0.0055,0.0165,0.0055
12,22850.4,1.05676,0.47554,0.84071,0.92891,0.88231,0.90019,0.62659,1.00013,0.41645,0.83764,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
13,24715.7,1.02825,0.46091,0.84755,0.92841,0.88172,0.90021,0.62943,0.98832,0.41528,0.83568,0.0138,0.0046,0.0138,0.0046,0.0138,0.0046,0.0138,0.0046
14,26575.5,1.00872,0.44924,0.8448,0.9322,0.88417,0.90205,0.63494,0.97589,0.40814,0.83342,0.01245,0.00415,0.01245,0.00415,0.01245,0.00415,0.01245,0.00415
15,28435.3,0.98788,0.43958,0.84069,0.93291,0.88476,0.90224,0.64122,0.96043,0.40288,0.83106,0.0111,0.0037,0.0111,0.0037,0.0111,0.0037,0.0111,0.0037
16,30297.3,0.96972,0.43044,0.83744,0.93129,0.88571,0.90357,0.64587,0.94928,0.39676,0.82933,0.00975,0.00325,0.00975,0.00325,0.00975,0.00325,0.00975,0.00325
17,32156.9,0.95028,0.42133,0.83463,0.93275,0.88715,0.90501,0.64885,0.93824,0.39154,0.82745,0.0084,0.0028,0.0084,0.0028,0.0084,0.0028,0.0084,0.0028
18,34015.6,0.9288,0.41143,0.83132,0.93308,0.8875,0.90546,0.65212,0.92672,0.38684,0.82575,0.00705,0.00235,0.00705,0.00235,0.00705,0.00235,0.00705,0.00235
19,35874.8,0.91033,0.40183,0.8283,0.93404,0.88838,0.90637,0.65536,0.91779,0.38247,0.82434,0.0057,0.0019,0.0057,0.0019,0.0057,0.0019,0.0057,0.0019
20,37736.4,0.88863,0.39203,0.82545,0.93626,0.88909,0.9073,0.65798,0.90944,0.37891,0.82316,0.00435,0.00145,0.00435,0.00145,0.00435,0.00145,0.00435,0.00145
21,39596.8,0.86878,0.38252,0.82193,0.93466,0.89023,0.90746,0.66016,0.90316,0.37603,0.82218,0.003,0.001,0.003,0.001,0.003,0.001,0.003,0.001
22,41456.5,0.84843,0.37309,0.81984,0.93526,0.89062,0.90754,0.66152,0.89882,0.37392,0.82151,0.00165,0.00055,0.00165,0.00055,0.00165,0.00055,0.00165,0.00055
