epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.718,1.40362,0.91501,0.90369,0.87351,0.83333,0.83112,0.48425,1.3166,0.62695,0.89729,0.000331667,0.000331667,0.000331667
2,265.433,1.34848,0.67219,0.89465,0.83142,0.83014,0.83666,0.48222,1.28152,0.68899,0.88862,0.000656222,0.000656222,0.000656222
3,391.294,1.33775,0.65772,0.89109,0.86951,0.82509,0.83646,0.47101,1.3018,0.63221,0.89104,0.000971977,0.000971977,0.000971977
4,517.293,1.32495,0.64786,0.88914,0.89347,0.84385,0.85251,0.5146,1.2106,0.60131,0.87598,0.0009604,0.0009604,0.0009604
5,643.414,1.30201,0.62782,0.88544,0.85793,0.84393,0.84782,0.50461,1.24808,0.5975,0.88404,0.0009472,0.0009472,0.0009472
6,769.153,1.28342,0.61276,0.88097,0.90154,0.85342,0.8562,0.51837,1.26902,0.58568,0.88522,0.000934,0.000934,0.000934
7,895.373,1.27521,0.60731,0.87886,0.84019,0.84532,0.85383,0.52082,1.20247,0.60303,0.87692,0.0009208,0.0009208,0.0009208
8,1021.1,1.2507,0.59203,0.87418,0.89388,0.851,0.85752,0.52727,1.24037,0.57241,0.87927,0.0009076,0.0009076,0.0009076
9,1147.18,1.24063,0.58434,0.8737,0.89953,0.85239,0.86071,0.55039,1.16424,0.56632,0.86657,0.0008944,0.0008944,0.0008944
10,1273.47,1.22692,0.57224,0.8702,0.90015,0.85551,0.85905,0.54369,1.18625,0.53833,0.87088,0.0008812,0.0008812,0.0008812
11,1399.57,1.2103,0.56722,0.86789,0.8973,0.86126,0.85929,0.54959,1.15775,0.53243,0.86445,0.000868,0.000868,0.000868
12,1525.65,1.20435,0.55837,0.86744,0.89411,0.84551,0.85035,0.5069,1.28763,0.56246,0.88325,0.0008548,0.0008548,0.0008548
13,1651.48,1.19078,0.55679,0.86522,0.88964,0.85636,0.86078,0.55945,1.14979,0.52425,0.86291,0.0008416,0.0008416,0.0008416
14,1777.31,1.18534,0.54675,0.86332,0.90847,0.85801,0.86326,0.56337,1.13071,0.52783,0.86027,0.0008284,0.0008284,0.0008284
15,1902.95,1.17289,0.54037,0.8615,0.90273,0.85727,0.86067,0.56387,1.12866,0.51266,0.85806,0.0008152,0.0008152,0.0008152
16,2028.97,1.18149,0.53932,0.85925,0.90166,0.8576,0.86115,0.55609,1.19228,0.52265,0.87005,0.000802,0.000802,0.000802
17,2154.88,1.16082,0.52746,0.86091,0.91399,0.86363,0.86404,0.56927,1.12573,0.5027,0.85764,0.0007888,0.0007888,0.0007888
18,2280.93,1.1521,0.53089,0.85544,0.90131,0.86206,0.86264,0.55402,1.14769,0.5192,0.86228,0.0007756,0.0007756,0.0007756
19,2406.79,1.15023,0.52531,0.85677,0.89608,0.87292,0.8679,0.57793,1.12219,0.49477,0.85641,0.0007624,0.0007624,0.0007624
20,2532.52,1.14303,0.52239,0.85525,0.90735,0.87028,0.86884,0.5741,1.11736,0.49379,0.85745,0.0007492,0.0007492,0.0007492
21,2658.33,1.14116,0.52294,0.8549,0.89771,0.86531,0.86796,0.56755,1.16327,0.5067,0.86054,0.000736,0.000736,0.000736
22,2784.36,1.13954,0.51774,0.85463,0.90694,0.86996,0.86819,0.58236,1.10522,0.48671,0.85439,0.0007228,0.0007228,0.0007228
23,2910.63,1.11705,0.51019,0.85058,0.89811,0.86958,0.86344,0.58218,1.08763,0.49689,0.85168,0.0007096,0.0007096,0.0007096
24,3036.32,1.12756,0.51373,0.85304,0.91124,0.86625,0.86933,0.57588,1.10068,0.48571,0.85268,0.0006964,0.0006964,0.0006964
25,3162.06,1.1049,0.50156,0.84901,0.9154,0.86704,0.87097,0.59199,1.06507,0.48112,0.84872,0.0006832,0.0006832,0.0006832
26,3287.91,1.10566,0.49929,0.84807,0.91485,0.87013,0.8746,0.58971,1.06751,0.47623,0.84813,0.00067,0.00067,0.00067
27,3413.83,1.10237,0.49965,0.84843,0.913,0.87149,0.86981,0.58586,1.06473,0.48118,0.84726,0.0006568,0.0006568,0.0006568
28,3539.58,1.09732,0.4977,0.84614,0.9153,0.8734,0.87296,0.5951,1.08346,0.46853,0.85081,0.0006436,0.0006436,0.0006436
29,3665.58,1.08835,0.49409,0.84589,0.91206,0.86617,0.86984,0.59202,1.07239,0.4753,0.8495,0.0006304,0.0006304,0.0006304
30,3791.14,1.08288,0.49141,0.84589,0.92059,0.86711,0.87092,0.5884,1.06903,0.47378,0.84743,0.0006172,0.0006172,0.0006172
31,3916.98,1.07546,0.48806,0.84649,0.90948,0.87331,0.87349,0.59844,1.04581,0.46754,0.8445,0.000604,0.000604,0.000604
32,4042.79,1.06018,0.48087,0.84112,0.91668,0.87364,0.87139,0.60417,1.03133,0.4561,0.84315,0.0005908,0.0005908,0.0005908
33,4169.1,1.06134,0.48241,0.84247,0.90467,0.87207,0.87275,0.59972,1.0547,0.47225,0.84571,0.0005776,0.0005776,0.0005776
34,4295.29,1.04923,0.47547,0.84022,0.90419,0.8747,0.86942,0.60964,1.0291,0.45085,0.8416,0.0005644,0.0005644,0.0005644
35,4421.75,1.04951,0.47449,0.84066,0.90387,0.86973,0.87315,0.60544,1.01155,0.44895,0.83976,0.0005512,0.0005512,0.0005512
36,4547.99,1.03472,0.46766,0.8387,0.91727,0.87181,0.8731,0.60038,1.02713,0.45434,0.84106,0.000538,0.000538,0.000538
37,4674.18,1.03492,0.46897,0.83946,0.91441,0.87431,0.87468,0.61158,1.01203,0.44508,0.83799,0.0005248,0.0005248,0.0005248
38,4800.34,1.02663,0.46356,0.836,0.91332,0.87094,0.8714,0.60985,1.00465,0.44757,0.83779,0.0005116,0.0005116,0.0005116
39,4926.31,1.02107,0.45994,0.83709,0.91007,0.87059,0.87052,0.6136,0.99309,0.43866,0.83631,0.0004984,0.0004984,0.0004984
40,5052.3,1.01785,0.46065,0.83666,0.91317,0.88023,0.8739,0.61013,1.01505,0.44524,0.8386,0.0004852,0.0004852,0.0004852
41,5178.8,0.99924,0.45158,0.8326,0.9182,0.87242,0.87541,0.61728,0.9969,0.43406,0.83568,0.000472,0.000472,0.000472
42,5305.16,0.99695,0.45091,0.83353,0.91117,0.87454,0.87744,0.61598,0.99673,0.43945,0.83569,0.0004588,0.0004588,0.0004588
43,5431.76,0.9937,0.452,0.83261,0.91775,0.87956,0.87951,0.61608,0.99265,0.42854,0.83515,0.0004456,0.0004456,0.0004456
44,5557.93,0.99129,0.45089,0.83122,0.91365,0.87908,0.88006,0.61524,0.99908,0.42646,0.83576,0.0004324,0.0004324,0.0004324
45,5683.91,0.97994,0.44444,0.8299,0.91801,0.87583,0.87769,0.61882,0.98391,0.43073,0.83235,0.0004192,0.0004192,0.0004192
46,5810.29,0.96874,0.43982,0.82875,0.91144,0.87695,0.87759,0.61584,0.9829,0.42433,0.83282,0.000406,0.000406,0.000406
47,5936.49,0.96619,0.44297,0.82679,0.91962,0.87975,0.88015,0.62951,0.9584,0.41618,0.82891,0.0003928,0.0003928,0.0003928
48,6062.85,0.94796,0.43246,0.82626,0.92017,0.87851,0.88056,0.62945,0.94819,0.41375,0.82796,0.0003796,0.0003796,0.0003796
49,6188.96,0.93537,0.42553,0.82543,0.91574,0.87932,0.87772,0.63512,0.94344,0.40996,0.82806,0.0003664,0.0003664,0.0003664
50,6315.77,0.94388,0.42817,0.8254,0.92198,0.87837,0.88041,0.62011,0.96266,0.41568,0.8298,0.0003532,0.0003532,0.0003532
51,6441.88,0.93318,0.42453,0.8254,0.91142,0.87794,0.87874,0.6314,0.94341,0.41257,0.82775,0.00034,0.00034,0.00034
52,6568.15,0.93083,0.42356,0.82194,0.91757,0.88302,0.88371,0.63269,0.93635,0.40607,0.82509,0.0003268,0.0003268,0.0003268
53,6694.19,0.91446,0.41727,0.82042,0.92041,0.88399,0.88405,0.63244,0.9519,0.40608,0.82878,0.0003136,0.0003136,0.0003136
54,6820.59,0.9062,0.41287,0.8204,0.91726,0.88125,0.88292,0.64324,0.90399,0.39707,0.82175,0.0003004,0.0003004,0.0003004
55,6946.83,0.8963,0.40792,0.81848,0.91369,0.88413,0.88531,0.64497,0.90903,0.39564,0.82219,0.0002872,0.0002872,0.0002872
56,7073.27,0.89416,0.40569,0.8175,0.92404,0.88217,0.88453,0.64596,0.9036,0.3912,0.82188,0.000274,0.000274,0.000274
57,7199.64,0.88685,0.40387,0.81664,0.90773,0.88205,0.88103,0.64494,0.89641,0.39593,0.82101,0.0002608,0.0002608,0.0002608
58,7326.08,0.87785,0.39957,0.81566,0.92633,0.87969,0.88316,0.63471,0.92025,0.39277,0.82383,0.0002476,0.0002476,0.0002476
59,7452.56,0.87528,0.39971,0.81596,0.92276,0.87875,0.88377,0.64073,0.89516,0.38739,0.82064,0.0002344,0.0002344,0.0002344
60,7578.44,0.86811,0.39725,0.81542,0.92083,0.8794,0.88338,0.6537,0.87881,0.38267,0.81862,0.0002212,0.0002212,0.0002212
61,7704.56,0.85468,0.39038,0.81204,0.92366,0.87825,0.88278,0.64988,0.87498,0.38027,0.81834,0.000208,0.000208,0.000208
62,7830.67,0.85732,0.38962,0.81389,0.92127,0.87749,0.8848,0.65391,0.86433,0.37919,0.81711,0.0001948,0.0001948,0.0001948
63,7956.89,0.85483,0.39111,0.81306,0.91821,0.87945,0.88286,0.64815,0.87975,0.3795,0.81831,0.0001816,0.0001816,0.0001816
64,8082.8,0.84035,0.38531,0.81266,0.92056,0.87899,0.88395,0.65229,0.86539,0.376,0.81649,0.0001684,0.0001684,0.0001684
65,8208.97,0.83284,0.3819,0.80971,0.91932,0.88273,0.88472,0.65127,0.86362,0.37401,0.81615,0.0001552,0.0001552,0.0001552
66,8333.41,0.81395,0.37287,0.81526,0.92219,0.87838,0.8834,0.65221,0.86778,0.37565,0.81694,0.000142,0.000142,0.000142
67,8457.34,0.79492,0.36356,0.81368,0.9232,0.87643,0.88166,0.65275,0.86436,0.37347,0.81647,0.0001288,0.0001288,0.0001288
68,8580.95,0.78304,0.36012,0.81165,0.92853,0.87899,0.88389,0.6542,0.86201,0.37251,0.81617,0.0001156,0.0001156,0.0001156
69,8705.1,0.77471,0.35792,0.81085,0.91881,0.88043,0.88522,0.65707,0.84739,0.36986,0.81482,0.0001024,0.0001024,0.0001024
70,8829.03,0.77053,0.35465,0.80928,0.92432,0.8809,0.88514,0.65922,0.84422,0.36867,0.81407,8.92e-05,8.92e-05,8.92e-05
71,8953.22,0.75918,0.3521,0.80849,0.92015,0.88206,0.88552,0.66065,0.84364,0.36605,0.814,7.6e-05,7.6e-05,7.6e-05
72,9077.14,0.75101,0.34799,0.8077,0.92413,0.87992,0.88547,0.66291,0.83502,0.36259,0.81349,6.28e-05,6.28e-05,6.28e-05
73,9201.26,0.74413,0.34542,0.80834,0.92449,0.88003,0.88549,0.65962,0.84641,0.36508,0.81466,4.96e-05,4.96e-05,4.96e-05
74,9325.06,0.74099,0.34417,0.80774,0.92554,0.87992,0.88565,0.66309,0.83377,0.36294,0.81345,3.64e-05,3.64e-05,3.64e-05
75,9449.46,0.73209,0.34207,0.80479,0.92209,0.88086,0.88455,0.66557,0.832,0.36139,0.8132,2.32e-05,2.32e-05,2.32e-05
