epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,343.116,1.68235,1.46728,1.20152,0.67581,0.65319,0.64367,0.37326,1.4008,0.84447,1.11743,0.00124715,0.000415718,0.00124715,0.000415718,0.00124715,0.000415718,0.00124715,0.000415718
2,643.9,1.52019,0.92242,1.09916,0.77136,0.75169,0.76903,0.45662,1.33992,0.75614,1.08531,0.00246419,0.000821397,0.00246419,0.000821397,0.00246419,0.000821397,0.00246419,0.000821397
3,931.793,1.47212,0.85252,1.07986,0.79904,0.78713,0.8139,0.49362,1.31299,0.76752,1.08314,0.00364823,0.00121608,0.00364823,0.00121608,0.00364823,0.00121608,0.00364823,0.00121608
4,1215.38,1.47181,0.83195,1.07817,0.8457,0.80054,0.84709,0.52287,1.31079,0.70479,1.07338,0.0036015,0.0012005,0.0036015,0.0012005,0.0036015,0.0012005,0.0036015,0.0012005
5,1498.41,1.44455,0.79644,1.0685,0.84326,0.82014,0.8685,0.53983,1.29149,0.71286,1.06305,0.003552,0.001184,0.003552,0.001184,0.003552,0.001184,0.003552,0.001184
6,1781.5,1.42574,0.76634,1.06073,0.84457,0.8363,0.87259,0.54573,1.30005,0.6679,1.07129,0.0035025,0.0011675,0.0035025,0.0011675,0.0035025,0.0011675,0.0035025,0.0011675
7,2065.21,1.41044,0.75298,1.05899,0.85106,0.84105,0.87617,0.55489,1.2724,0.67511,1.07061,0.003453,0.001151,0.003453,0.001151,0.003453,0.001151,0.003453,0.001151
8,2348.64,1.40178,0.73269,1.05425,0.85838,0.85556,0.87427,0.54808,1.28167,0.65694,1.08565,0.0034035,0.0011345,0.0034035,0.0011345,0.0034035,0.0011345,0.0034035,0.0011345
9,2631.5,1.37685,0.71622,1.0438,0.86732,0.84992,0.88176,0.56241,1.26524,0.63835,1.06609,0.003354,0.001118,0.003354,0.001118,0.003354,0.001118,0.003354,0.001118
10,2914.69,1.37787,0.70647,1.04204,0.88466,0.84774,0.89961,0.56987,1.25453,0.65471,1.05698,0.0033045,0.0011015,0.0033045,0.0011015,0.0033045,0.0011015,0.0033045,0.0011015
11,3198.13,1.35565,0.68832,1.03919,0.89152,0.86931,0.89916,0.57845,1.27204,0.63366,1.06721,0.003255,0.001085,0.003255,0.001085,0.003255,0.001085,0.003255,0.001085
12,3481.24,1.3441,0.68296,1.03493,0.88239,0.8557,0.88247,0.56897,1.26308,0.6526,1.06246,0.0032055,0.0010685,0.0032055,0.0010685,0.0032055,0.0010685,0.0032055,0.0010685
13,3764.11,1.34175,0.67802,1.03093,0.89202,0.86614,0.90234,0.57929,1.25804,0.60421,1.06218,0.003156,0.001052,0.003156,0.001052,0.003156,0.001052,0.003156,0.001052
14,4047.52,1.33215,0.66677,1.03122,0.89256,0.87312,0.89366,0.57299,1.25124,0.61429,1.05691,0.0031065,0.0010355,0.0031065,0.0010355,0.0031065,0.0010355,0.0031065,0.0010355
15,4330.7,1.32968,0.66175,1.02291,0.88945,0.86445,0.89266,0.57863,1.25952,0.60531,1.07063,0.003057,0.001019,0.003057,0.001019,0.003057,0.001019,0.003057,0.001019
16,4613.83,1.30563,0.64447,1.01646,0.88845,0.8622,0.89363,0.58154,1.25459,0.60696,1.05557,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025
17,4896.84,1.29548,0.64036,1.0167,0.8945,0.87881,0.89942,0.5833,1.26513,0.6077,1.06036,0.002958,0.000986,0.002958,0.000986,0.002958,0.000986,0.002958,0.000986
18,5180.55,1.29179,0.63714,1.01049,0.89671,0.87324,0.8988,0.58451,1.24592,0.59472,1.05884,0.0029085,0.0009695,0.0029085,0.0009695,0.0029085,0.0009695,0.0029085,0.0009695
19,5464.24,1.28626,0.62841,1.01195,0.89409,0.87828,0.90289,0.58545,1.25697,0.59814,1.06387,0.002859,0.000953,0.002859,0.000953,0.002859,0.000953,0.002859,0.000953
20,5747.56,1.281,0.62345,1.00839,0.90807,0.87612,0.90371,0.59195,1.23687,0.5847,1.05549,0.0028095,0.0009365,0.0028095,0.0009365,0.0028095,0.0009365,0.0028095,0.0009365
21,6030.47,1.25906,0.61269,1.00236,0.90452,0.88608,0.90623,0.59291,1.22578,0.58131,1.05179,0.00276,0.00092,0.00276,0.00092,0.00276,0.00092,0.00276,0.00092
